player_id,player_name,team,position,sub_position,lineup_position,age,squad_selections,games_played,minutes_played,goals,assists,yellow_cards,red_cards,market_value_eur,height_cm,nationality,preferred_foot,highest_market_value_in_eur,contract_expiration_date
371998,Vinicius Junior,Real Madrid,Attack,Left Winger,Left Winger,24,13,0,0,0,0,0,0,180000000,176.0,Brazil,right,180000000.0,2027-06-30 00:00:00
342229,Kylian Mbappé,Real Madrid,Attack,Centre-Forward,Centre-Forward,26,14,0,0,0,0,0,0,180000000,178.0,France,right,200000000.0,2029-06-30 00:00:00
581678,Jude Bellingham,Real Madrid,Midfield,Attacking Midfield,Attacking Midfield,22,15,31,2493,9,9,5,1,160000000,186.0,England,right,180000000.0,2029-06-30 00:00:00
937958,Lamine Yamal,FC Barcelona,Attack,Right Winger,Right Winger,17,17,0,0,0,0,0,0,120000000,180.0,Spain,left,120000000.0,2026-06-30 00:00:00
369081,Federico Valverde,Real Madrid,Midfield,Central Midfield,Central Midfield,26,16,36,3034,6,4,4,0,120000000,182.0,Uruguay,right,130000000.0,2029-06-30 00:00:00
412363,Rodrygo,Real Madrid,Attack,Right Winger,Right Winger,24,10,0,0,0,0,0,0,110000000,174.0,Brazil,right,110000000.0,2028-06-30 00:00:00
576024,Julián Alvarez,Atletico Madrid,Attack,Centre-Forward,Centre-Forward,25,21,37,2519,17,4,5,0,100000000,170.0,Argentina,right,100000000.0,2030-06-30 00:00:00
413112,Aurélien Tchouaméni,Real Madrid,Midfield,Defensive Midfield,Centre-Back,25,14,0,0,0,0,0,0,100000000,188.0,France,right,100000000.0,2028-06-30 00:00:00
683840,Pedri,FC Barcelona,Midfield,Central Midfield,Central Midfield,22,19,0,0,0,0,0,0,80000000,174.0,Spain,right,100000000.0,2026-06-30 00:00:00
326330,Frenkie de Jong,FC Barcelona,Midfield,Central Midfield,Central Midfield,28,15,0,0,0,0,0,0,70000000,181.0,Netherlands,right,90000000.0,2026-06-30 00:00:00
480267,Ronald Araujo,FC Barcelona,Defender,Centre-Back,Centre-Back,26,9,0,0,0,0,0,0,70000000,192.0,Uruguay,right,70000000.0,2026-06-30 00:00:00
775605,Pablo Barrios,Atletico Madrid,Midfield,Central Midfield,Central Midfield,22,16,31,2337,1,4,4,1,60000000,181.0,Spain,right,60000000.0,2030-06-30 00:00:00
636688,Alejandro Balde,FC Barcelona,Defender,Left-Back,Left-Back,21,19,32,2293,0,4,2,0,60000000,177.0,Spain,left,60000000.0,2028-06-30 00:00:00
401530,Éder Militão,Real Madrid,Defender,Centre-Back,Centre-Back,27,5,0,0,0,0,0,0,60000000,186.0,Brazil,right,70000000.0,2028-06-30 00:00:00
709187,Nico Williams,Athletic Bilbao,Attack,Left Winger,Left Winger,22,15,29,1998,5,5,1,0,60000000,181.0,Spain,right,70000000.0,2035-06-30 00:00:00
293385,Dani Olmo,FC Barcelona,Midfield,Attacking Midfield,Attacking Midfield,27,15,0,0,0,0,0,0,60000000,179.0,Spain,right,60000000.0,2030-06-30 00:00:00
411295,Raphinha,FC Barcelona,Attack,Right Winger,Left Winger,28,19,0,0,0,0,0,0,50000000,176.0,Brazil,left,60000000.0,2027-06-30 00:00:00
423440,Martín Zubimendi,Real Sociedad,Midfield,Defensive Midfield,Defensive Midfield,26,16,0,0,0,0,0,0,50000000,181.0,Spain,right,50000000.0,2027-06-30 00:00:00
640428,Eduardo Camavinga,Real Madrid,Midfield,Central Midfield,Central Midfield,22,8,19,1098,1,2,2,0,50000000,182.0,France,left,100000000.0,2029-06-30 00:00:00
411975,Jules Koundé,FC Barcelona,Defender,Right-Back,Right-Back,26,19,0,0,0,0,0,0,45000000,180.0,France,right,60000000.0,2027-06-30 00:00:00
861410,Arda Güler,Real Madrid,Attack,Right Winger,Attacking Midfield,20,16,0,0,0,0,0,0,45000000,175.0,Türkiye,left,45000000.0,2029-06-30 00:00:00
1390649,Yan Diomande,Leganes,Attack,Left Winger,Left Winger,18,4,10,542,2,1,1,0,45000000,180.0,Cote d'Ivoire,right,45000000.0,2030-06-30 00:00:00
